query,answer
What is the name of exhibition held on October 30 at Hunt Library Gallery in CMU?,The name of the exhibition held on October 30 at Hunt Library Gallery in CMU is the “17th International Exhibition of Botanical Art & Illustration.”
Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?,"Use the following pieces of context to answer the question at the end.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
Use three sentences maximum and keep the answer as concise as possible.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 19,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 12,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Nov 26,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 29,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

# event_name

LGBTQIA+ Support and Social Group

# event_time

Oct 15,2024|6 - 7 p.m. Weekly (to Dec 10)

# location

Morewood Gardens Group Room

# content

Come join us at this safer space for LGBTQIA+ folks to socialize and support one another.

Question: Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?


Helpful Answer:
The LGBTQIA+ Support and Social Group meets at Morewood Gardens Group Room on November 19, 2024.

# Additional context

The group meets weekly from October 15 to December 10, 2024, every Thursday between 6-7 p.m."
"Where does the exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" hold on November 20 of 2024?","The exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" will be held at the Hunt Library, Fourth Floor on November 20, 2024."
When does Make-Up Final Exams in 2024 happen?,"Make-Up Final Exams will be held on Dec 16,2024."
When is Yalda Night held?,"Yalda Night is held on Dec 20,2024."
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?","The ""HI - CMU Meetup: Rock Climbing"" event takes place in Honolulu, HI."
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The Alumni Awards Ceremony was held at Pittsburgh on November 01, 2024."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","NYC - Fall Happy Hour was held at New York on November 02, 2024."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?",Webex.
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?","We do not have enough information to answer when ""PIT - Saint Anthony Chapel Tour"" is held."
