query,answer
What is the name of exhibition held on October 30 at Hunt Library Gallery in CMU?,The name of the exhibition held on October 30 at Hunt Library Gallery in CMU is the 17th International Exhibition of Botanical Art & Illustration.
Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?,"The LGBTQIA+ Support and Social Group meets at Morewood Gardens Group Room on November 19,2024 from 6 - 7 p.m."
"Where does the exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" hold on November 20 of 2024?","The exhibition “Here to Stay: Celebrating 40 Years at the Architecture Archives” will be held at the Hunt Library, Fourth Floor, on November 20, 2024."
When does Make-Up Final Exams in 2024 happen?,"On Dec 16, 2024."
When is Yalda Night held?,26-01-2023-11-30-2024-31-12-2024-12-20-2024-12-13-2024-12-10-2024-12-09-2024-12-08 2024-11-30-11-27-2024-11-25-2024-11-24-2024-11-23-2024-11-22-2024-11-21-2024-11-20-2024-11-19-2024-11-16-2024-11-15-2024-11-14-2024-11-13-2024-11-12
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?","Honolulu, HI."
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The 31st Annual History Makers Award Dinner will take place on May 16, 2024 from 6:30 pm - 10:00 pm in Pittsburgh, PA."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","The ""NYC - Fall Happy Hour"" of CMU will be held at New York on November 02, 2024."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?","Webinar, Online."
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?","November 09, 2024."
"What is the name of workshop held on November 09 at Marietta, GA?","The name of the workshop held on November 09, 2024, at Marietta, GA is ATL - Hands-on Workshop to Build Your LinkedIn Brand."
"When is ""PGH - November Network Planning Meeting"" of CMU held online?","November 11,2024"
"What is the place of ""SD - Wine Tasting Social"" happening on November 13, 2024?","La Jolla, CA."
"What is the date of ""HLAA - Coffee with Glenn and Jonathan: Thanksgiving Edition"" at New York?","November 02, 2024"
"Where is ""Mod Sun & lovelytheband: Here's Your Flowers Tour"" happening?","The Here's Your Flowers Tour is the third headlining concert tour by the American pop duo Jonas Brothers in support of their album Happiness Begins, supporting acts include The Open, Bad Child. The Mod Sun & lovelytheband: Here’s Your Flowers Tour is happening at Stage AE, located at 400 N Shore Dr, Pittsburgh, PA 15212."
