query,answer
What is the name of exhibition held on October 30 at Hunt Library Gallery in CMU?,The name of the exhibition held on October 30 at Hunt Library Gallery in CMU is the 17th International Exhibition of Botanical Art & Illustration.
Where does LGBTQIA+ Support and Social Group meet on November 19 of 2024?,"The LGBTQIA+ Support and Social Group will meet at Morewood Gardens Group Room on November 19, 2024 from 6 - 7 p.m."
"Where does the exhibition ""Here to Stay: Celebrating 40 Years at the Architecture Archives"" hold on November 20 of 2024?","The exhibition “Here to Stay: Celebrating 40 Years at the Architecture Archives” will be held at the Hunt Library, Fourth Floor, on November 20, 2024."
When does Make-Up Final Exams in 2024 happen?,"Make-Up Final Exams happen on Dec 16,2024|All Day."
When is Yalda Night held?,"The Yalda (or Yaldā) is a Persian holiday held on the evening of the vernal equinox (in March). Yalda Night is held on Dec 20,2024."
"Where does ""HI - CMU Meetup: Rock Climbing"" take place on October 27?","The HI - CMU Meetup: Rock Climbing will take place in Honolulu, HI on October 27, 2024."
"When is ""Alumni Awards Ceremony"" of CMU held at Pittsburgh?","The 31st Annual History Makers Award Dinner will take place on May 16, 2024 from 6:30 pm – 10:00 pm at the Pittsburgh Conference and Exhibition on the David L. Lawrence Convention Center in Downtown Pittsburgh. The Alumni Awards Ceremony is held on November 01, 2024, in Pittsburgh, PA."
"When is ""NYC - Fall Happy Hour"" of CMU held at New York?","The NYC - Fall Happy Hour of CMU was held at New York on November 02, 2024."
"Where does ""ATL - Alumni Event Planning Meeting"" take place on November 06, 2024?","Webinar, Online"
"When is ""PIT - Saint Anthony Chapel Tour"" held on November 09, 2024?",The event is held at Saint Anthony Chapel. 2022 2023 2024 2025 2026 2027 2028 2029 2021 2022 2023 2024 2025 2026 2027 2028 2029 2021 2022 2023 2024 2025 2026
"What is the name of workshop held on November 09 at Marietta, GA?","The name of the workshop held on November 09 at Marietta, GA is ATL - Hands-on Workshop to Build Your LinkedIn Brand."
"When is ""PGH - November Network Planning Meeting"" of CMU held online?","The ""PGH - November Network Planning Meeting"" of CMU was held online on November 11,2024."
"What is the place of ""SD - Wine Tasting Social"" happening on November 13, 2024?","La Jolla, CA."
"What is the date of ""HLAA - Coffee with Glenn and Jonathan: Thanksgiving Edition"" at New York?","November 02, 2024"
"Where is ""Mod Sun & lovelytheband: Here's Your Flowers Tour"" happening?","""Mod Sun & lovelytheband: Here's Your Flowers Tour"" is happening at Stage AE in Pittsburgh, PA."
